goaltime,average,changepoint,1deg,2deg,3deg
10.86006,10.86006,3.720078,3.231722,32.61286,287.5331
10.52005,10.69005,3.70576,0.7917157,44.62642,289.9279
11.54007,10.9734,3.132255,7.464383,30.75208,292.3467
11.46007,11.09506,3.242269,6.30114,43.22953,290.6408
11.30007,11.13606,3.779942,5.007451,34.11626,286.0349
10.30005,10.99673,3.014153,1.943089,40.29657,291.394
10.04004,10.86006,3.762035,0.2992875,39.07951,290.8282
10.98006,10.87506,3.580445,0.5721548,51.13425,297.7428
10.58005,10.84228,3.475386,4.695148,32.68685,282.4235
10.46005,10.80406,3.796522,1.387359,50.19197,299.0999
12.24009,10.93461,3.867575,8.922793,27.82746,278.8473
9.840035,10.84339,3.02894,1.323465,50.73694,297.8528
10.10004,10.78621,3.7288,0.6977916,36.49535,291.8929
11.06006,10.80577,3.192515,4.795091,31.22909,284.4297
10.62005,10.79339,3.665131,4.044266,28.00318,293.4839
10.66005,10.78506,3.301537,1.345652,50.1856,291.8829
11.00006,10.7977,3.544814,2.327864,46.2968,295.0338
10.36005,10.77339,3.393514,1.459073,25.01775,288.1827
10.32005,10.74953,3.378984,2.792779,41.31427,287.4223
12.5401,10.83906,3.197526,359.8986,37.90262,292.4875
12.5201,10.91911,3.688582,8.034293,35.90156,284.6153
11.06006,10.92552,3.441378,3.040112,24.47993,292.5378
10.14004,10.89136,3.754887,3.329158,43.65604,295.2172
11.70008,10.92506,3.375615,8.803985,22.04973,284.8817
12.00008,10.96806,3.809098,5.512516,25.23397,280.5645
10.40005,10.94621,3.649455,2.800036,40.75772,295.1104
10.00004,10.91117,3.513239,2.985433,37.24806,292.4218
10.66005,10.9022,3.086068,358.1815,55.21658,302.2577
10.94006,10.90351,3.193498,4.555535,23.75391,286.8172
10.30005,10.88339,3.505664,3.305091,41.08958,293.1313
11.14007,10.89167,3.053306,3.777258,36.69632,285.3054
11.18007,10.90069,3.315281,4.239099,15.21236,282.4049
